token_path,token_type,figma_style_path,figma_target,notes
theme.border.strong,color,Theme/Border/Strong,Paint Style,Strong border for dividers and outlines.
theme.border.subtle,color,Theme/Border/Subtle,Paint Style,Subtle border colour for cards and panels.
theme.focus.ring.inner,color,Theme/Focus/Ring/Inner,Paint Style,Inner contrast colour for focus outlines. Combine with focus width to generate dual-outline effect style.
theme.focus.ring.outer,color,Theme/Focus/Ring/Outer,Paint Style,Outer glow of focus ring. Combine with focus width to generate dual-outline effect style.
theme.focus.text,color,Theme/Focus/Text,Paint Style,Focus text/indicator colour.
theme.focus.width,dimension,Theme/Focus/Width,Number Variable,Standard focus outline width. Maintain 2px focus stroke; attach to effect style Focus › Outline.
theme.icon.muted,color,Theme/Icon/Muted,Paint Style,Muted icon tone for tertiary affordances. Scope to text/icon paint styles for library typography specimens.
theme.icon.on-interactive,color,Theme/Icon/On Interactive,Paint Style,Icons on interactive primary surfaces. Scope to text/icon paint styles for library typography specimens.
theme.icon.primary,color,Theme/Icon/Primary,Paint Style,Primary icon tone. Scope to text/icon paint styles for library typography specimens.
theme.space.inline.sm,dimension,Theme/Space/Inline/Sm,Number Variable,Small inline spacing for Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.space.inline.xs,dimension,Theme/Space/Inline/Xs,Number Variable,Compact inline spacing for Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.space.inset.compact,dimension,Theme/Space/Inset/Compact,Number Variable,Compact padding for dense layouts in Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.space.inset.default,dimension,Theme/Space/Inset/Default,Number Variable,Default padding for spacious layouts in Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.space.stack.compact,dimension,Theme/Space/Stack/Compact,Number Variable,Tight vertical rhythm in Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.space.stack.default,dimension,Theme/Space/Stack/Default,Number Variable,Default vertical rhythm in Theme 0. Tokens Studio number variable; mirror as read-only Figma variable.
theme.status.accent.border,color,Theme/Status/Accent/Border,Paint Style,Accent border tone. Used by banner + chip specimens; publish as library styles.
theme.status.accent.icon,color,Theme/Status/Accent/Icon,Paint Style,Accent icon colour. Used by banner + chip specimens; publish as library styles.
